ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"202.40.186.157","elite","AS23991","BD","Ranks ITT","199","Ranks ITT Ltd.","4145","socks4","3699","1","2024-04-24T10:23:17.889Z","99","6860","6933"
"111.91.231.65","elite","AS38571","IN","Star Broadband Services","254","SBS","4153","socks4","2289","1","2024-04-24T10:23:17.879Z","100","6812","6841"
"1.10.133.132","elite","AS23969","TH","TOT Public Company Limited","290","Shared Dynamic IP Address for Residential Broadband Services","4145","socks4","5213","1","2024-04-24T10:23:17.885Z","70","4771","6799"
"152.32.78.24","elite","AS17639","PH","ComClark Network & Technology Corp","331","Convergeict","4145","socks4","5097","2","2024-04-24T10:23:17.875Z","97","6686","6917"
"113.103.52.2","elite","AS4134","CN","Chinanet","198","Chinanet GD","38801","socks4","2493","1","2024-04-24T10:23:17.877Z","54","3716","6822"
"41.215.33.186","elite","AS15808","KE","ACCESSKENYA","183","N/A","15808","socks4","77","4","2024-04-24T10:23:17.888Z","50","3417","6893"
"190.128.149.174","elite","AS23201","PY","Telecel S.A.","207","Telecel S.A","5678","socks4","75","2","2024-04-24T10:23:17.484Z","92","6288","6872"
"202.163.72.74","elite","AS9541","PK","Cyber Internet Services (Private) Limited","148","Broadband Services","4153","socks4","4902","1","2024-04-24T10:23:17.876Z","96","6639","6951"
"192.241.129.169","elite","AS14061","US","DigitalOcean, LLC","82","Digital Ocean","5566","socks4","74","86","2024-04-24T10:23:17.488Z","84","5748","6827"
"187.95.82.146","elite","AS262696","BR","Turbonet Telecomunicações","191","Turbonet Telecomunicações","3629","socks4","225","95","2024-04-24T10:23:17.273Z","77","5355","6963"
"178.62.79.49","elite","AS14061","GB","DigitalOcean, LLC","17","Digital Ocean","16614","socks5","3309","1","2024-04-24T10:23:17.880Z","100","6858","6869"
"192.111.130.5","elite","AS46562","CA","Performive LLC","199","Total Server Solutions L.L.C.","17002","socks5","556","1","2024-04-24T10:23:17.291Z","98","166","170"
"171.97.115.156","elite","AS17552","TH","True Internet Corporation CO. Ltd.","344","Truenet Hisp","8888","socks4","70","81","2024-04-24T10:23:17.882Z","37","2515","6849"
"104.25.115.125","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4089","1","2024-04-24T10:23:17.284Z","100","6913","6916"
"188.166.239.48","elite","AS14061","SG","DigitalOcean, LLC","400","Digitalocean","3128","socks4","4595","2","2024-04-24T10:23:17.573Z","100","6890","6903"
"5.9.151.189","elite","AS24940","DE","Hetzner Online GmbH","25","Hetzner","30000","socks4","1001","81","2024-04-24T10:23:17.390Z","88","6022","6878"
"178.128.84.253","elite","AS14061","SG","DigitalOcean, LLC","301","Digitalocean","9050","socks4","75","1","2024-04-24T10:23:17.480Z","100","6907","6925"
"94.182.26.44","elite","AS31549","IR","Aria Shatel Company Ltd","109","Shtl NET DED","4153","socks4","2224","2","2024-04-24T10:22:47.587Z","93","6443","6940"
"120.50.40.184","elite","AS17547","SG","M1 NET LTD","318","M1 NET LTD","3128","socks4","829","1","2024-04-24T10:22:47.373Z","99","6790","6830"
"103.35.108.145","elite","AS23991","BD","Ranks ITT","287","Ranks ITT Ltd.","4145","socks5","645","1","2024-04-24T10:22:47.974Z","99","6861","6905"
